track_id,predicted_face_id,n_faces,first_sec,review,true_id
s0,Face_76,1,17.0,merge?,P1
s1,Face_06,1,18.0,,x
t0,Face_06,1,19.0,,x
t1,Face_06,7,22.0,,P21
t2,Face_06,3,29.0,merge?,P22
s2,Face_08,1,38.0,,P2
t3,Face_08,1,39.0,,P22
s3,Face_138,1,40.0,,P3
s5,Face_57,1,41.0,merge?,P4
s4,Face_08,1,41.0,,P3
t4,Face_08,4,42.0,,P25
t5,Face_08,2,47.0,,P28
s7,unknown,1,52.1,,P4
s6,Face_152,1,52.1,,P4
s8,unknown,1,55.1,split?,P5
s9,Face_158,1,56.1,,P6
s10,Face_23,1,59.1,merge?,P7
s11,Face_81,1,60.1,,x
s12,Face_23,1,60.1,merge?,x
t6,Face_10,5,61.1,,P21
s13,Face_10,1,66.1,,P8
s14,Face_10,1,67.1,,P9
s15,unknown,1,90.1,split?,P10
s16,Face_31,1,99.1,,P10
s17,Face_31,1,100.1,,P10
s19,Face_108,1,101.1,,x
s18,Face_31,1,101.1,,x
s20,Face_52,1,102.1,,P11
s21,Face_52,1,103.1,,P12
s22,unknown,1,174.2,split?,P12
s23,Face_21,1,220.2,,P13
s24,Face_21,1,221.2,,P14
s25,Face_21,1,222.2,,P15
s26,Face_21,1,223.2,,P14
s27,Face_62,1,224.2,,P15
s28,Face_21,1,224.2,,P14
s29,Face_65,1,224.2,,P15
s30,Face_62,1,225.2,,P16
s31,Face_65,1,225.2,,P15
s32,unknown,1,230.2,split?,P17
s33,Face_143,1,354.4,,P15
s34,Face_144,1,354.4,,P16
s35,Face_145,1,356.4,,P18
s36,Face_36,1,356.4,,P19
s37,Face_146,1,357.4,,x
s38,Face_36,1,357.4,,x
s39,Face_36,1,358.4,,x
s41,Face_12,1,359.4,merge?,P20
s40,Face_71,1,359.4,merge?,x
s42,Face_12,1,360.4,merge?,P21
s43,Face_71,1,360.4,merge?,P23
s44,Face_40,1,361.4,merge?,P23
s45,Face_147,1,362.4,,P22
s46,Face_72,1,362.4,,P22
s47,Face_148,1,363.4,merge?,P22
s48,Face_72,1,363.4,,P22
s49,Face_149,1,363.4,,P24
s50,unknown,1,363.4,merge?,P25
s51,Face_73,1,364.4,merge?,P25
s52,Face_73,1,365.4,,P22
s54,unknown,1,366.4,split?,P26
s53,Face_150,1,366.4,,P22
s55,unknown,1,367.4,split?,P26
s56,Face_74,1,391.4,,P28
s57,unknown,1,391.4,split?,P27
s58,unknown,1,394.4,split?,P25
s59,Face_151,1,487.5,,P26
s60,Face_23,1,499.5,merge?,P27
s61,Face_153,1,504.5,,P28
s62,Face_154,1,514.5,,P29
s63,Face_23,1,515.5,merge?,P29
s64,Face_155,1,553.6,,P30
s65,Face_11,1,558.6,,P30
s66,Face_156,1,559.6,,P31
s67,Face_11,1,559.6,,P30
s68,Face_11,1,560.6,,P31
s69,Face_05,1,564.6,,P31
s70,Face_05,1,565.6,,P21
s71,Face_05,1,568.6,,x
s72,Face_05,1,571.6,,P21
s73,Face_05,1,574.6,,P21
t7,Face_05,5,577.6,,P21
t8,Face_05,3,583.6,,P33
s74,Face_11,1,586.6,,P21
s75,Face_11,1,587.6,,P32
s76,Face_11,1,588.6,,P32
s77,Face_11,1,589.6,,P33
s78,Face_09,1,619.6,,P33
s79,Face_09,1,622.6,merge?,
s80,Face_09,1,628.6,merge?,
s81,Face_27,1,631.6,,
s82,unknown,1,631.6,merge? split?,
s83,Face_27,1,632.6,,
t9,Face_27,2,633.6,,P33
s84,Face_09,1,641.6,merge?,
s85,Face_09,1,642.6,merge?,
s86,Face_09,1,648.6,merge?,
s87,Face_09,1,649.6,,
s88,Face_09,1,659.7,,
s89,Face_157,1,660.7,,
s90,Face_37,1,687.7,,
s91,Face_37,1,688.7,merge?,
t10,Face_37,1,689.7,merge?,
s92,Face_38,1,690.7,merge?,
s93,Face_38,1,691.7,,
s94,unknown,1,691.7,split?,
s96,Face_74,1,692.7,,
s95,Face_38,1,692.7,,
s97,Face_02,1,699.7,,
t11,Face_02,2,700.7,,
t12,Face_02,6,702.7,,
t13,Face_07,6,702.7,,
s98,Face_02,1,708.7,,
s99,Face_07,1,708.7,,
t15,Face_07,2,710.7,,
t14,Face_02,2,710.7,,
s100,Face_07,1,712.7,,
t16,Face_02,5,712.7,,
s101,unknown,1,765.8,split?,
s102,Face_77,1,768.8,,
s103,Face_12,1,779.8,,
s104,Face_78,1,780.8,,
s105,unknown,1,780.8,split?,
s106,Face_79,1,782.8,,
s107,Face_80,1,789.8,,
s108,Face_28,1,792.8,,
s109,Face_28,1,793.8,,
s110,Face_28,1,794.8,,
s111,unknown,1,806.8,split?,
s112,Face_82,1,807.8,,
s113,Face_40,1,807.8,merge?,
s114,Face_41,1,826.8,,
s115,Face_41,1,827.8,,
s116,Face_83,1,829.8,,
s118,Face_43,1,830.8,merge?,
